,time,sequence,bids,asks
0,1639163339199,1623602585886,"['47747.6', '0.82155577']","['47747.7', '0.10672394']"
1,1639163339199,1623602585886,"['47747.3', '0.10071284']","['47748.8', '0.00080275']"
2,1639163339199,1623602585886,"['47747', '0.00449999']","['47748.9', '0.00744274']"
3,1639163339199,1623602585886,"['47746.3', '0.0046']","['47752.3', '0.059']"
4,1639163339199,1623602585886,"['47745.9', '0.01501394']","['47752.4', '0.10472394']"
5,1639163339199,1623602585886,"['47745.6', '0.06138231']","['47752.9', '0.05233712']"
6,1639163339199,1623602585886,"['47745.2', '0.00147978']","['47753.7', '0.001']"
7,1639163339199,1623602585886,"['47744.6', '0.10472589']","['47754.2', '0.10467648']"
8,1639163339199,1623602585886,"['47743.6', '0.01063325']","['47754.7', '0.08']"
9,1639163339199,1623602585886,"['47743', '0.50044']","['47754.8', '0.0025']"
10,1639163339199,1623602585886,"['47741.7', '0.45']","['47755.4', '0.18875145']"
11,1639163339199,1623602585886,"['47741.6', '0.10467488']","['47755.5', '0.50044']"
12,1639163339199,1623602585886,"['47739.9', '0.10472589']","['47756.3', '0.15702191']"
13,1639163339199,1623602585886,"['47739.6', '0.01063325']","['47756.5', '0.01035939']"
14,1639163339199,1623602585886,"['47739.4', '0.08066666']","['47758.1', '0.005']"
15,1639163339199,1623602585886,"['47734.8', '0.01406515']","['47761.6', '0.48580521']"
16,1639163339199,1623602585886,"['47733.7', '0.01']","['47761.7', '0.04147503']"
17,1639163339199,1623602585886,"['47733.6', '1.44907385']","['47761.8', '1.5246426']"
18,1639163339199,1623602585886,"['47733.5', '0.55580626']","['47762', '0.99579314']"
19,1639163339199,1623602585886,"['47733.2', '0.15702191']","['47762.1', '0.27047143']"
20,1639163339199,1623602585886,"['47732.6', '0.01035939']","['47762.2', '0.20940399']"
21,1639163339199,1623602585886,"['47732.3', '0.47017677']","['47762.5', '0.00864405']"
22,1639163339199,1623602585886,"['47731.2', '0.62844335']","['47762.9', '0.01092819']"
23,1639163339199,1623602585886,"['47731.1', '0.45']","['47763.5', '0.05466202']"
24,1639163339199,1623602585886,"['47728.7', '0.05464096']","['47764', '0.01899185']"
25,1639163339199,1623602585886,"['47726.7', '0.00580707']","['47764.8', '0.0025']"
26,1639163339199,1623602585886,"['47725.8', '0.20937495']","['47766.9', '0.05464096']"
27,1639163339199,1623602585886,"['47725.2', '0.0035']","['47767.3', '0.08253879']"
28,1639163339199,1623602585886,"['47724.6', '0.29366226']","['47768.2', '0.0025']"
29,1639163339199,1623602585886,"['47724.5', '0.45440108']","['47768.4', '0.2486']"
30,1639163339199,1623602585886,"['47722.8', '0.04368704']","['47770.1', '0.12014667']"
31,1639163339199,1623602585886,"['47722', '0.003']","['47770.5', '0.04368971']"
32,1639163339199,1623602585886,"['47721.7', '0.03147503']","['47771.8', '0.02185638']"
33,1639163339199,1623602585886,"['47721.6', '0.62849601']","['47772.9', '0.16398919']"
34,1639163339199,1623602585886,"['47720.2', '0.45']","['47774.2', '0.04371277']"
35,1639163339199,1623602585886,"['47718.4', '0.45']","['47774.4', '0.63093018']"
36,1639163339199,1623602585886,"['47717.8', '0.20940856']","['47777', '0.00296604']"
37,1639163339199,1623602585886,"['47716.9', '0.1201447']","['47777.9', '0.003']"
38,1639163339199,1623602585886,"['47716.8', '0.00549811']","['47779.2', '0.20944832']"
39,1639163339199,1623602585886,"['47716.6', '0.16398292']","['47779.5', '0.00007964']"
40,1639163339199,1623602585886,"['47712', '0.62850918']","['47779.6', '0.00449999']"
41,1639163339199,1623602585886,"['47710.3', '0.05322812']","['47781.6', '0.2']"
42,1639163339199,1623602585886,"['47709', '0.01331176']","['47782.8', '0.00148']"
43,1639163339199,1623602585886,"['47708.1', '0.01092819']","['47787.4', '0.09989953']"
44,1639163339199,1623602585886,"['47706.4', '0.00148']","['47788.8', '0.70945303']"
45,1639163339199,1623602585886,"['47705.9', '0.03191317']","['47789', '1']"
46,1639163339199,1623602585886,"['47702.7', '1.5']","['47789.2', '1.52105358']"
47,1639163339199,1623602585886,"['47701.6', '0.02185638']","['47790.3', '0.005']"
48,1639163339199,1623602585886,"['47701', '0.06042955']","['47790.4', '0.0005']"
49,1639163339199,1623602585886,"['47700.3', '0.05468103']","['47791.6', '0.01920765']"
50,1639163339199,1623602585886,"['47700', '0.09817701']","['47791.9', '0.0046']"
51,1639163339199,1623602585886,"['47699.3', '0.00197877']","['47792.2', '0.15']"
52,1639163339199,1623602585886,"['47698.5', '0.04371277']","['47794.8', '0.0047']"
53,1639163339199,1623602585886,"['47696.9', '0.7']","['47795.8', '0.2']"
54,1639163339199,1623602585886,"['47695', '0.00010472']","['47796.2', '0.20936255']"
55,1639163339199,1623602585886,"['47689.2', '0.2']","['47797.1', '0.00003381']"
56,1639163339199,1623602585886,"['47685.3', '0.4188248']","['47798.1', '0.5']"
57,1639163339199,1623602585886,"['47683.2', '0.20943259']","['47798.4', '0.41892397']"
58,1639163339199,1623602585886,"['47681.4', '0.5']","['47798.5', '0.00022022']"
59,1639163339199,1623602585886,"['47678.8', '2']","['47798.6', '0.02183988']"
60,1639163339199,1623602585886,"['47675.5', '0.02187533']","['47800', '0.00010042']"
61,1639163339199,1623602585886,"['47675.2', '0.2094167']","['47802.4', '0.00958069']"
62,1639163339199,1623602585886,"['47673.7', '0.04374616']","['47803.7', '0.41893635']"
63,1639163339199,1623602585886,"['47673.6', '0.41898909']","['47805.6', '0.00005989']"
64,1639163339199,1623602585886,"['47673.4', '0.0001279']","['47805.9', '1']"
65,1639163339199,1623602585886,"['47673.3', '0.00014975']","['47806.9', '2']"
66,1639163339199,1623602585886,"['47673.1', '0.00009539']","['47808', '1.04758379']"
67,1639163339199,1623602585886,"['47673', '0.00219891']","['47808.4', '0.04371277']"
68,1639163339199,1623602585886,"['47672.7', '0.04371277']","['47811.1', '0.00001806']"
69,1639163339199,1623602585886,"['47672.5', '1']","['47812.1', '2']"
70,1639163339199,1623602585886,"['47672.4', '0.0000332']","['47815.3', '0.00042466']"
71,1639163339199,1623602585886,"['47672.1', '0.00044122']","['47817.6', '0.20943255']"
72,1639163339199,1623602585886,"['47672', '0.00107694']","['47817.7', '0.20945303']"
73,1639163339199,1623602585886,"['47671.9', '0.00148117']","['47818.1', '0.00005824']"
74,1639163339199,1623602585886,"['47671.6', '0.00002426']","['47818.2', '0.00014981']"
75,1639163339199,1623602585886,"['47671.5', '0.0000231']","['47818.9', '0.00002996']"
76,1639163339199,1623602585886,"['47671.3', '0.00015195']","['47820', '2']"
77,1639163339199,1623602585886,"['47671.2', '0.00001498']","['47821.6', '0.00001776']"
78,1639163339199,1623602585886,"['47671', '0.00135479']","['47823', '0.00002939']"
79,1639163339199,1623602585886,"['47670.9', '0.00001899']","['47824', '0.00015622']"
80,1639163339199,1623602585886,"['47670.3', '0.00155385']","['47824.1', '0.01765101']"
81,1639163339199,1623602585886,"['47670.1', '0.0002048']","['47826.9', '0.00002245']"
82,1639163339199,1623602585886,"['47670', '0.00819347']","['47827.3', '0.41892677']"
83,1639163339199,1623602585886,"['47669.8', '0.00001334']","['47827.9', '0.00012086']"
84,1639163339199,1623602585886,"['47669.5', '0.00028101']","['47828.5', '0.00041923']"
85,1639163339199,1623602585886,"['47669.3', '0.000017']","['47828.8', '0.00148']"
86,1639163339199,1623602585886,"['47669', '0.00965456']","['47829.2', '0.00011214']"
87,1639163339199,1623602585886,"['47668.3', '0.00002178']","['47831.3', '0.00002511']"
88,1639163339199,1623602585886,"['47668', '0.00110737']","['47832.8', '0.003']"
89,1639163339199,1623602585886,"['47667.8', '0.00002147']","['47832.9', '0.00001866']"
90,1639163339199,1623602585886,"['47667.7', '0.00006161']","['47834.9', '0.04861944']"
91,1639163339199,1623602585886,"['47667.5', '0.00001366']","['47836.8', '0.20943255']"
92,1639163339199,1623602585886,"['47667.4', '0.00004841']","['47837', '0.05001347']"
93,1639163339199,1623602585886,"['47667', '0.01309276']","['47838.2', '0.00049996']"
94,1639163339199,1623602585886,"['47666.8', '0.00001242']","['47838.5', '0.00070587']"
95,1639163339199,1623602585886,"['47666.6', '0.00165944']","['47838.6', '0.00001421']"
96,1639163339199,1623602585886,"['47666.3', '0.00003839']","['47839.2', '0.45077006']"
97,1639163339199,1623602585886,"['47666.2', '0.02185845']","['47839.3', '0.00005985']"
98,1639163339199,1623602585886,"['47666.1', '0.00021036']","['47839.4', '0.00015636']"
99,1639163339199,1623602585886,"['47666', '0.00205893']","['47840.1', '0.0025']"
